Date,bll.us,tmo.us,emr.us,ibm.us,cnp.us,sna.us,has.us,lb.us,lnc.us,ko.us,clx.us,apc.us,intc.us,iff.us,dov.us,gps.us,wen.us,adm.us,t.us,wmt.us,rtn.us,mat.us,leg.us,luv.us,mcd.us,bby.us,nke.us,bc.us,cag.us,adsk.us,phm.us,msft.us,ca.us,mro.us,jwn.us,key.us,ben.us,gd.us,cpb.us,xom.us,pki.us,wy.us,efx.us,stt.us,ba.us,jpm.us,wmb.us,bdx.us,abx.us,pbi.us,low.us,pcg.us,cop.us,abt.us,wba.us,pep.us,aem.us,apa.us,kbh.us,gt.us,ph.us,ed.us,duk.us,cce.us,dte.us,utx.us,cost.us,csx.us,hrb.us,r.us,dis.us,lly.us,spgi.us,aapl.us,f.us,ppl.us,unm.us,adi.us,hum.us,rok.us,pgr.us,d.us,syy.us,dlx.us,gpc.us,avp.us,nue.us,itw.us,mmm.us,bk.us,cvs.us,glw.us,rdc.us,mrk.us,ci.us,hon.us,bac.us,dwdp.us,aa.us,amgn.us,jcp.us,nyt.us,mdp.us,cl.us,noc.us,pnw.us,aig.us,etn.us,eix.us,wec.us,nav.us,shw.us,ir.us,xrx.us,hd.us,unp.us,ash.us,ppg.us,jnj.us,nsc.us,peg.us,txn.us,avy.us,bmy.us,ip.us,brk-a.us,kmb.us,mo.us,txt.us,c.us,uis.us,aet.us,ni.us,whr.us,swk.us,cvx.us,mbi.us,ge.us,vz.us,atro.us,dal.us,k.us,ipg.us,hsy.us,wfc.us,vfc.us,cmi.us,aep.us,apd.us,hal.us,slb.us,oxy.us,cat.us,so.us,cr.us,mas.us,svu.us,bax.us,ctl.us,pcar.us,tgna.us,lpx.us,ter.us,rrd.us,tgt.us,adbe.us,axp.us,gis.us,rost.us,ctb.us,amd.us,usb.us,etr.us,mdt.us,bcr.us,amat.us,de.us,pg.us,afl.us,kr.us,adp.us,nem.us,lmt.us,nwl.us,exc.us,gww.us,fdx.us,bms.us,pfe.us,thc.us,cms.us,dhr.us,hpq.us
1987-11-15,1.1433,3.5235,3.8541,25.0,3.7713,10.701,2.788275,2.4564,5.136475,1.96085,3.339125,5.415,0.5855,7.4403500000000005,3.82455,0.552825,0.5314000000000001,3.627675,2.41325,2.758375,13.7745,1.448,1.75485,0.5637,4.390125,0.26739999999999997,0.1985625,10.754,3.033975,2.135,0.8227,0.253725,2.96815,3.606325,3.6553750000000003,3.4291,0.529025,2.2665249999999997,3.984975,7.8067,5.6802,4.101125,1.972925,1.909275,6.44885,4.327725,1.7659500000000001,4.4263,3.30415,4.058225,0.5353249999999999,5.99695,1.980025,1.7477749999999999,1.3632,4.193375,14.58025,2.367575,1.1601249999999999,14.799,5.312825,6.437725,7.2078,2.652975,3.9616249999999997,2.594925,5.9834,1.185225,1.50325,12.6845,3.63495,6.802025,3.9442000000000004,1.19625,2.730625,2.3926,2.938275,1.4053499999999999,3.30915,2.89195,0.56685,4.3449,1.143,9.221175,7.3347,1.180875,1.4654,2.630125,8.287199999999999,1.954275,3.743275,2.1723,4.7136,5.736225,5.550825,4.534925,2.6727749999999997,7.39415,8.1638,0.45053750000000004,11.21125,10.586500000000001,4.1385250000000005,1.5234,6.752725,12.14825,94.07775000000001,2.50525,6.184225,0.834125,42.8125,4.34555,2.669475,31.563,0.4767925,5.60655,5.986175,4.336875,2.97675,4.048275,3.0966750000000003,1.8679999999999999,4.9503,4.7527,10.388,2993.75,6.9112,0.699825,3.450525,20.97825,279.25,3.33605,0.6672750000000001,14.48825,6.052925,4.2700499999999995,3.4625,2.990925,6.701499999999999,0.39284,2691.675,7.3390249999999995,2.134075,3.866,1.110075,1.9373,3.8221,7.0928249999999995,5.284549999999999,3.9259000000000004,4.688525,4.504625,4.470225,1.9397,2.2937,6.429675,40.50375,5.032299999999999,1.316525,1.3079,6.828625,6.5175,3.89595,10.98625,1.614525,0.69,4.00675,2.9908,0.12275250000000001,2.260675,5.1899999999999995,2.51615,2.9107250000000002,0.94235,5.9376999999999995,0.1902825,2.8718,4.285775,1.1494,0.4923575,2.8592,20.70525,9.238075,2.0885,3.102,8.52505,12.1825,2.3295500000000002,1.1974,19.84,6.635575,0.465775,2.37225
1987-11-22,1.16026,3.57386,3.95202,24.516000000000002,3.7311799999999997,11.510200000000001,2.841,2.3342,5.202920000000001,1.9749400000000001,3.5345799999999996,5.38982,0.5614600000000001,7.85946,3.8521799999999997,0.51406,0.52354,3.75096,2.35758,2.69638,13.750200000000001,1.43132,1.6787199999999998,0.5603,4.4642,0.26571,0.1965,10.425799999999999,2.9909399999999997,2.0300000000000002,0.8059,0.24826,2.87522,3.6240200000000002,3.7481999999999998,3.3297000000000003,0.52482,2.19966,3.9739199999999997,7.857679999999999,5.7081800000000005,4.11712,2.0103,1.87638,6.6611400000000005,4.16558,1.7250599999999998,4.39996,3.6921799999999996,4.01618,0.52382,5.98224,1.89772,1.7107199999999998,1.38152,4.26164,15.0454,2.36522,1.11896,15.1664,5.4292,6.35,7.162819999999999,2.6178999999999997,3.9566000000000003,2.4322,5.62714,1.2197,1.59348,12.235,3.7458599999999995,6.80506,3.9909400000000006,1.1396799999999998,2.83536,2.3360600000000002,2.8417,1.42112,3.51956,2.89286,0.5949,4.35186,1.11976,9.28514,7.4817599999999995,1.19674,1.4473600000000002,2.71648,8.9585,1.88312,3.7794,2.1865,4.348940000000001,5.58442,5.38106,4.66022,2.62466,7.681839999999999,8.38512,0.44443,11.5526,10.3972,3.86156,1.5150000000000001,6.5689400000000004,12.1158,94.1634,2.58562,6.05932,0.8270799999999999,42.5,4.2212000000000005,2.7294600000000004,31.586000000000002,0.496612,5.77256,5.98098,4.68176,3.09586,4.139139999999999,3.08172,1.83006,5.1536,4.84722,10.6028,2950.0,7.03448,0.70598,3.4603,20.819399999999998,278.32,3.2693799999999995,0.65926,14.7394,6.2297199999999995,4.30182,3.41,3.00946,6.61032,0.40423200000000004,2575.906,7.29678,2.20564,3.8909,1.1225,1.8413599999999999,3.86432,7.039019999999999,5.347099999999999,4.09194,4.59842,4.38624,4.52536,1.93226,2.28806,6.50826,41.4582,5.07306,1.33976,1.2339600000000002,6.79718,6.34,3.6704999999999997,10.672999999999998,1.5558,0.674,4.053859999999999,2.9221399999999997,0.127678,2.36064,5.05,2.50628,2.8567,0.9728199999999999,5.77064,0.193766,2.84346,4.3065,1.2021799999999998,0.495756,2.98906,20.050800000000002,9.03,1.98244,3.0804199999999997,8.99418,12.244200000000001,2.38752,1.22566,20.52,6.623,0.4436,2.4183
1987-11-29,1.152675,3.6494999999999997,4.204525,24.355999999999998,3.7411,11.9665,2.817425,2.23245,5.280925,1.976125,3.65855,5.608025,0.57945,7.730475,3.92685,0.523725,0.4901675,3.853075,2.328725,2.543675,13.29525,1.386875,1.6613,0.56135,4.5337250000000004,0.2491175,0.19169,9.54605,2.9682500000000003,2.1675,0.78535,0.2453225,3.045375,3.6866499999999998,3.602075,3.21525,0.5420499999999999,2.08855,3.9418249999999997,7.67115,5.7468,4.3792,2.025225,1.78145,6.5372,4.062975,1.6864249999999998,4.489974999999999,4.223825,4.00615,0.513195,6.049125,1.8982,1.72465,1.354625,4.34115,16.475749999999998,2.347,1.1719,15.66575,6.16945,6.3105,7.0397,2.806625,3.967625,2.52865,5.793175,1.2367750000000002,1.637775,12.1435,3.840325,6.825525,3.828325,1.158275,2.7857,2.339675,2.89025,1.374275,3.2293250000000002,2.735075,0.59565,4.259925,1.140925,8.83005,7.65925,1.1828750000000001,1.421175,2.80535,8.964500000000001,1.7851249999999999,3.6403749999999997,2.279675,4.65545,5.740075,5.212125,4.5372,2.55475,7.8151,8.9677,0.42425999999999997,11.868749999999999,9.75525,4.0179,1.5277,6.45015,11.998249999999999,93.74925,2.81105,6.029625,0.821925,41.5625,4.087375,2.797925,30.835,0.5048,5.649625,6.18825,4.897025,3.12735,4.344375,3.05665,1.922825,5.411525,4.874725,11.24575,3006.25,6.955075,0.719975,3.4678,21.3675,277.575,3.1271,0.66255,14.36625,6.123525,4.22905,3.4125,3.000975,6.5372,0.4085533333333333,2583.4674999999997,7.328725,2.22175,3.84475,1.188875,1.83035,3.7509,7.033675,5.36795,4.17745,4.58955,4.464675,4.77865,1.9601250000000001,2.35635,6.18065,41.29925,5.13705,1.37065,1.2514,6.68835,6.375,3.658025,10.591249999999999,1.536025,0.74,3.945525,2.907975,0.1216,2.5476,4.925000000000001,2.5139750000000003,2.8364000000000003,1.031475,5.423725,0.2076325,3.1346,4.322274999999999,1.316525,0.4856125,3.01825,23.22775,8.4739,1.94175,3.11145,9.145275000000002,11.594,2.390225,1.1877,19.93,6.604100000000001,0.4645175,2.426775
1987-12-06,1.0557,3.37444,3.8884,22.739600000000003,3.6611599999999997,11.1914,2.77128,2.05414,5.0332,1.87302,3.49202,5.37632,0.5389,7.3479399999999995,3.70146,0.482398,0.42153,3.7034399999999996,2.22566,2.2407,12.6196,1.2667000000000002,1.57884,0.521892,4.18574,0.20259400000000002,0.18504400000000001,7.81764,2.72638,2.194,0.73488,0.223074,2.83778,3.56588,3.3397599999999996,3.1481000000000003,0.5357799999999999,2.0005200000000003,3.6032400000000004,7.122719999999999,5.62636,4.0112000000000005,1.7915199999999998,1.6138000000000001,6.40672,3.8071200000000003,1.59352,4.02924,4.481,3.84672,0.449622,5.8507,1.84062,1.6064,1.1995200000000001,4.12688,18.319799999999997,2.29582,1.08162,15.281,5.92304,6.155620000000001,6.8354,2.73958,3.941,2.34828,5.1851,1.1543800000000002,1.54596,11.095600000000001,3.5998400000000004,6.3745400000000005,3.6559600000000003,1.02426,2.71086,2.23382,2.82938,1.28682,2.8504199999999997,2.5436799999999997,0.5626200000000001,4.113899999999999,1.02692,7.81198,7.35016,1.13462,1.33968,2.60712,8.22344,1.65652,3.2949399999999995,2.1676200000000003,4.27522,5.36576,4.86496,4.164759999999999,2.40028,7.223879999999999,8.08878,0.39547,10.774,9.41666,3.9349800000000004,1.41814,6.11406,11.796000000000001,84.0004,2.74904,5.96042,0.8059799999999999,39.5,3.69758,2.65516,28.242399999999996,0.46392,5.28434,6.11038,4.50768,2.92666,4.08866,2.9273,1.8436999999999997,5.19692,4.67434,10.4386,2840.0,6.734640000000001,0.68408,3.23036,19.422199999999997,255.4,2.9737,0.6441399999999999,12.2968,6.03912,3.98932,3.35,2.74552,6.33262,0.3830225,2398.79,6.913120000000001,2.17134,3.5740600000000002,1.13406,1.6868400000000001,3.42988,6.83622,4.86076,3.83408,4.36632,4.253439999999999,4.42596,1.8743000000000003,2.12026,5.60488,37.8208,4.7936,1.3105,1.25156,6.24722,6.054,3.53782,9.8938,1.4334799999999999,0.712,3.6367800000000003,2.77662,0.106152,2.47886,4.3020000000000005,2.3640999999999996,2.8234000000000004,1.01626,5.34778,0.197232,3.00436,4.01444,1.3969200000000002,0.461538,2.78524,22.1588,8.08562,1.70944,3.0244,8.87434,10.2166,2.3892800000000003,1.0973,18.0,6.20218,0.42508,2.2178
1987-12-13,1.05424,3.2835799999999997,4.08064,23.128999999999998,3.61254,12.3708,2.65486,2.0228200000000003,4.89982,1.9683599999999999,3.58692,5.325,0.59988,7.53258,3.7531400000000006,0.45905000000000007,0.414738,3.92804,2.17622,2.2849,12.416,1.2756,1.52872,0.496936,4.34116,0.21232600000000001,0.19512800000000002,8.39212,2.792,2.506,0.75176,0.244896,3.01986,3.7926,3.3021599999999998,3.0590400000000004,0.5328999999999999,2.12932,3.75148,7.52578,5.74814,4.15362,1.87542,1.6207999999999998,6.46558,3.66378,1.6297000000000001,4.0205,4.50484,4.30506,0.44777000000000006,5.7177,1.86204,1.6645599999999998,1.3208199999999999,4.08734,16.0182,2.32684,1.10784,16.3266,6.50464,6.2299999999999995,6.898059999999999,2.74946,3.9457,2.39112,5.48962,1.20984,1.69316,11.5932,3.8043199999999997,6.60252,3.5757800000000004,1.0964800000000001,2.7785,2.2456,2.6406400000000003,1.36482,2.83722,2.5505400000000003,0.5626800000000001,4.168,1.03988,8.41714,7.59342,1.1622800000000002,1.41686,2.74046,8.496979999999999,1.6775600000000002,3.3432000000000004,2.25518,4.251939999999999,5.18492,4.5422199999999995,4.00826,2.43236,7.63558,8.60206,0.45842600000000006,10.9352,10.01918,3.9916400000000003,1.43028,5.96464,11.784,85.23819999999999,2.89178,5.8534,0.81412,38.25,3.96488,2.77948,29.4678,0.481142,5.5302,6.31582,4.57914,3.0439,4.19796,2.91668,2.00036,5.2252600000000005,4.8759,11.3108,2815.0,6.7426,0.7118399999999999,3.2362200000000003,17.9078,267.86,2.96466,0.6363,12.2828,6.19212,4.110200000000001,3.184,2.85318,6.2187,0.36181,2500.624,6.9703,2.2055999999999996,3.6734999999999998,1.169,1.66776,3.55918,6.8881,5.05062,3.90894,4.25558,4.12864,4.62136,1.83566,2.1047000000000002,5.7915,36.001599999999996,4.9501,1.26462,1.20486,6.5878,6.144,3.59168,10.3328,1.41876,0.76,3.63488,2.8864600000000005,0.107104,2.38206,4.49,2.3642,2.8581600000000003,1.0317399999999999,5.90896,0.22315000000000002,3.29086,4.1775,1.38352,0.46423,2.95804,22.2668,8.096680000000001,1.84078,2.9744800000000002,9.04862,9.22564,2.4746,1.044,17.68,6.50314,0.42997199999999997,2.4451799999999997
1987-12-20,1.13384,3.4132399999999996,4.5598399999999994,24.236,3.63394,12.749199999999998,2.76618,2.12874,4.86182,2.03196,3.7311,5.81288,0.64628,7.81742,4.07734,0.487442,0.461308,4.0522599999999995,2.25196,2.45664,13.342000000000002,1.32896,1.6506399999999999,0.57762,4.42532,0.275536,0.229102,9.73902,2.99084,2.668,0.7517400000000001,0.271672,3.49758,3.87478,3.6916800000000003,3.12534,0.56712,2.2237999999999998,3.86352,7.67474,5.7786,4.57278,2.05046,1.7388000000000001,6.71682,3.43378,1.71786,4.21192,4.68226,4.72766,0.47963199999999995,5.6713000000000005,1.82756,1.73018,1.43164,4.23532,16.3026,2.35062,1.13208,18.1484,6.77868,6.30142,6.86224,2.81398,3.99106,2.54878,5.97696,1.33962,1.81358,12.325199999999999,4.070819999999999,7.020300000000001,3.56872,1.24034,2.83222,2.30392,2.72466,1.58874,3.0683599999999998,2.78104,0.59028,4.24228,1.0657999999999999,8.8235,7.869580000000001,1.2278600000000002,1.5711400000000002,2.9542200000000003,9.033619999999999,1.6951399999999999,3.45054,2.3617800000000004,4.42068,5.219620000000001,4.7594,4.20948,2.43804,8.41122,9.1995,0.5248799999999999,11.667,11.197999999999999,4.2317599999999995,1.46966,5.950740000000001,12.0726,88.9136,2.9702,5.90604,0.8173199999999999,44.25,4.29848,2.98916,31.525799999999997,0.5206999999999999,5.612439999999999,6.73394,4.94528,3.15116,4.59938,2.91968,2.19604,5.5674399999999995,5.160760000000001,12.580400000000001,3030.0,6.63088,0.7308399999999999,3.3050799999999994,18.3538,296.74,3.00322,0.63064,13.1388,6.540519999999999,4.14644,3.318,3.04494,6.56348,0.32016666666666665,2785.528,7.22986,2.17652,3.98332,1.1922000000000001,1.6688800000000001,3.70734,7.05732,5.57534,3.96746,4.248399999999999,4.0133399999999995,4.8616,1.90688,2.4039200000000003,6.28076,36.9242,5.0058,1.35128,1.23876,6.8494,6.262,3.96468,10.936,1.51954,0.8560000000000001,3.8634399999999998,3.06272,0.117828,2.4556,5.0760000000000005,2.3914400000000002,2.94822,1.0492599999999999,6.19536,0.27852,3.4268,4.36616,1.39032,0.47503799999999996,3.15456,22.3128,8.694280000000001,1.99478,2.97292,9.935,9.69324,2.71582,1.0392800000000002,18.96,6.671760000000001,0.512604,2.67632
1987-12-27,1.228775,3.7971749999999997,4.5691500000000005,24.73975,3.592925,13.57075,2.9317,2.1507,4.989925,2.0199499999999997,3.7874,5.5652,0.6856,8.4491,4.266075,0.55915,0.503275,4.161525,2.23585,2.6096,13.5755,1.30345,1.6689,0.57565,4.517725,0.27548,0.2427625,9.89575,3.2086,2.67,0.888275,0.2746375,3.724025,4.1044,4.161875,3.3134,0.59515,2.214975,3.929425,7.7521,5.706300000000001,4.564575,2.182525,1.794675,7.1653,3.56505,1.738875,4.36265,4.532625,4.7199,0.48229500000000003,5.542525,2.085375,1.7641,1.48655,4.458275,15.4995,2.43375,1.118025,18.988500000000002,7.228149999999999,6.209875,6.8153749999999995,2.850075,4.036075,2.588425,6.548175,1.40475,1.883175,13.63125,4.285275,7.558025,3.585675,1.34555,2.92145,2.303175,3.001725,1.608525,3.0178000000000003,2.7737,0.589875,4.215575,1.1471,8.987675,7.916125,1.299475,1.6845750000000002,3.068325,9.28045,1.787325,3.6069750000000003,2.318375,4.652975,5.2586,4.82355,4.253375,2.5007,8.7414,9.593,0.548975,11.58025,11.42775,4.430975,1.514825,5.993425,12.2155,91.82825,2.93145,5.961774999999999,0.81375,44.375,4.3363499999999995,3.1192,31.884500000000003,0.55215,5.866,6.850675,4.924,3.1619,4.671975,2.97725,2.4415,5.868475,5.244875,12.763,3037.5,6.669925,0.7180249999999999,3.4186,20.05875,308.575,3.010275,0.6458999999999999,13.42425,6.832025,4.2425,3.705,3.099625,6.62125,0.35798,2766.3025,7.3042750000000005,2.369575,4.026675,1.2387,1.6792,3.897425,7.014575,6.106975,4.328375,4.5171,4.218725,4.936175,1.9341249999999999,2.50985,6.308225,37.53175,5.0604,1.383375,1.402925,7.2826,6.4399999999999995,4.0714500000000005,11.25225,1.531925,0.815,3.88875,3.19695,0.116895,2.6505,5.1875,2.5183,3.036025,1.081375,6.305325,0.2724875,3.439725,4.376775,1.369575,0.47777000000000003,3.20665,22.07475,8.727525,2.149825,2.9358250000000004,9.90425,10.061,2.689475,1.1857,19.58,6.741875,0.5400499999999999,2.75315
1988-01-03,1.2399499999999999,3.5090500000000002,4.589475,24.137,3.63835,13.3125,2.97745,2.0886,4.9742999999999995,1.949625,3.716,5.605575,0.649475,8.154525,4.31085,0.546625,0.522675,4.082875,2.190575,2.55435,13.59775,1.225575,1.6182750000000001,0.551675,4.36375,0.25924,0.2336075,9.7315,3.0751,2.5625,0.8859,0.28300250000000005,3.665175,3.8974,3.7601750000000003,3.34605,0.550075,2.262225,3.80375,7.462675,5.565975,4.444675,2.376175,1.7881749999999998,6.899775,3.471275,1.717225,4.406575,4.409175,4.5739,0.46467,5.585,2.348275,1.7457749999999999,1.40655,4.3370500000000005,14.84925,2.44285,1.1274250000000001,18.617,6.982075,6.109325,6.82635,2.7694,3.908875,2.49,6.453,1.380375,1.9264999999999999,13.4885,4.194025,7.550175,3.5857,1.34275,2.8449,2.29225,3.012425,1.60445,3.083575,2.8598,0.5687,4.1981,1.136925,8.830300000000001,7.848325,1.273625,1.7226499999999998,2.9636750000000003,9.0473,1.6886,3.6694750000000003,2.23665,4.80575,5.140525,4.741425,4.2664,2.453625,8.610875,9.00955,0.548925,11.2335,11.2925,4.501825,1.49775,5.833775,12.1345,89.249,2.969825,5.974175,0.80145,42.5,4.202625,3.04415,31.46975,0.5263,5.762275,6.66095,4.742325,3.049875,4.59435,3.0549,2.471,6.1582,5.056575,12.15875,3025.0,6.59225,0.69425,3.5292,19.11125,299.35,2.98,0.6363,13.49475,6.774075,4.26415,3.5725,2.9769,6.2961,0.313785,2716.96,7.073575,2.354575,3.846775,1.1929750000000001,1.69675,3.867225,7.05085,6.0508999999999995,4.131625,4.292825000000001,4.222675,4.855225,1.9564249999999999,2.468775,6.11795,37.515,4.969775,1.3977,1.324025,7.196525,6.1525,3.955975,11.375,1.4846,0.8325,3.7824,3.160525,0.10871,2.6527,4.925000000000001,2.5825500000000003,2.9198500000000003,1.1181,6.10835,0.2638175,3.27865,4.2557,1.325,0.46873,3.15315,21.5345,8.38355,2.171625,2.9375,10.0985,9.50375,2.710375,1.138825,19.759999999999998,6.4405,0.506065,2.75975
1988-01-10,1.21828,3.5854799999999996,4.59572,25.1112,3.85276,13.3506,2.99092,2.26606,5.4699800000000005,1.9927800000000002,3.6802599999999996,5.96528,0.6929399999999999,8.53992,4.31018,0.5742200000000001,0.5339,4.07418,2.28998,2.6962599999999997,13.7694,1.23108,1.66632,0.5795600000000001,4.5385800000000005,0.246238,0.226816,10.214400000000001,3.28334,2.668,0.94808,0.30192800000000003,3.66344,4.132099999999999,4.03366,3.41154,0.63292,2.32518,3.84542,7.776680000000001,5.6245400000000005,4.45794,2.40208,1.97838,7.3761399999999995,3.3721000000000005,1.8944199999999998,4.784660000000001,4.32358,4.4983200000000005,0.488478,5.74084,2.43354,1.8032,1.41424,4.45542,15.0458,2.6867,1.2592599999999998,18.919,6.68736,6.292260000000001,7.0687,3.0202999999999998,4.12096,2.69084,6.8933599999999995,1.4337399999999998,1.94488,13.681000000000001,4.348260000000001,7.83082,3.81988,1.39344,2.97092,2.3622799999999997,3.0549,1.6733799999999999,3.2752600000000003,2.8051000000000004,0.5748800000000001,4.25296,1.16526,9.07324,8.22294,1.2883200000000001,1.7528199999999998,3.10312,9.20882,1.8797000000000001,3.9654800000000003,2.30854,5.574859999999999,5.35954,4.96258,4.5398000000000005,2.71144,8.61896,8.9865,0.60018,11.6378,11.5092,4.67084,1.6075400000000002,6.10488,12.478,91.76200000000001,2.96466,6.10542,0.84026,44.0,4.536239999999999,3.1405000000000003,32.9274,0.54998,6.15756,6.4244,5.00324,3.0762799999999997,4.79596,3.19082,2.52674,6.04482,5.1848,12.373000000000001,3076.0,6.65808,0.70168,3.7061599999999997,20.6436,313.58000000000004,3.08026,0.6706200000000001,14.2166,6.9372,4.60338,3.79,3.07704,6.502120000000001,0.328515,2752.704,7.19402,2.3819,3.8892,1.24208,1.8831,4.10028,7.30894,6.05342,4.304080000000001,4.52984,4.49504,5.09178,2.03336,2.50598,6.84542,41.1466,5.3132,1.45702,1.34236,7.19328,6.554,4.043480000000001,11.3446,1.66984,0.8560000000000001,4.17164,3.28592,0.141224,2.76392,5.352,2.7889600000000003,3.0599600000000002,1.157,6.58928,0.276826,3.47074,4.306559999999999,1.3394,0.473238,3.1043600000000002,20.6786,8.95162,2.2259599999999997,3.0289200000000003,10.4468,9.95294,2.71076,1.23184,20.912,7.10684,0.50396,2.81034
1988-01-17,1.15744,3.4538800000000003,4.419700000000001,24.287799999999997,3.7887399999999998,13.0956,2.97414,2.22818,5.4448,1.94798,3.5738,5.7118400000000005,0.64634,8.35014,4.173579999999999,0.54414,0.499278,3.8208999999999995,2.32294,2.618,13.505600000000001,1.2444000000000002,1.6256599999999999,0.5546,4.32816,0.22207400000000002,0.223142,10.3962,3.129,2.3939999999999997,0.8900399999999999,0.296924,3.4538200000000003,3.9729599999999996,3.9328000000000003,3.22314,0.6274,2.29068,3.6772800000000005,7.62936,5.26306,4.22546,2.3639,1.94488,7.64588,3.23702,1.8567,4.75474,4.43524,4.27054,0.49548,5.67128,2.24466,1.7520599999999997,1.32244,4.299300000000001,14.804599999999999,2.60428,1.30984,18.024,6.38694,6.290760000000001,7.001479999999999,2.89358,4.063,2.6205399999999996,6.6181399999999995,1.38842,1.9528199999999998,12.8744,4.16212,7.5059,3.64168,1.35648,2.97714,2.3390600000000004,3.0358,1.50746,3.25838,2.63646,0.54114,4.22972,1.16546,8.93082,8.278780000000001,1.24512,1.7561,2.9748200000000002,8.7911,1.9007200000000002,3.9833399999999997,2.21916,5.04334,5.02768,5.0842,4.30764,2.751,8.04416,8.30986,0.58266,10.459999999999999,11.217,4.49788,1.6118400000000002,6.42548,12.420399999999999,87.26320000000001,2.83904,5.9672,0.8468600000000001,41.0,4.44784,3.06628,31.8572,0.51556,5.97156,6.27154,4.696479999999999,2.89088,4.7522400000000005,3.10608,2.27532,5.93464,5.10632,11.1922,3061.0,6.33904,0.68128,3.63354,19.7718,296.56,3.0601,0.7067,13.964400000000001,6.71052,4.385160000000001,3.782,2.9805599999999997,6.4656199999999995,0.32017,2719.196,6.9834000000000005,2.26206,3.6974000000000005,1.2154399999999999,1.9784,3.8364800000000003,7.21442,5.8018,4.11204,4.3574600000000006,4.27104,4.82512,2.02594,2.40904,6.503399999999999,39.3926,5.11198,1.3997,1.29362,6.88694,6.388,3.28222,10.8748,1.65004,0.8300000000000001,4.220560000000001,3.13394,0.148692,2.59908,4.8759999999999994,2.81128,3.16444,1.12046,6.391360000000001,0.26467,3.37418,4.22584,1.28376,0.499336,2.83406,20.603199999999998,8.74098,2.23482,3.0546800000000003,9.40766,9.47098,2.48806,1.2006000000000001,20.279999999999998,6.623,0.473768,2.648
