Date,bll.us,tmo.us,emr.us,ibm.us,cnp.us,sna.us,has.us,lb.us,lnc.us,ko.us,clx.us,apc.us,intc.us,iff.us,dov.us,gps.us,wen.us,adm.us,t.us,wmt.us,rtn.us,mat.us,leg.us,luv.us,mcd.us,bby.us,nke.us,bc.us,cag.us,adsk.us,phm.us,msft.us,ca.us,mro.us,jwn.us,key.us,ben.us,gd.us,cpb.us,xom.us,pki.us,wy.us,efx.us,stt.us,ba.us,jpm.us,wmb.us,bdx.us,abx.us,pbi.us,low.us,pcg.us,cop.us,abt.us,wba.us,pep.us,aem.us,apa.us,kbh.us,gt.us,ph.us,ed.us,duk.us,cce.us,dte.us,utx.us,cost.us,csx.us,hrb.us,r.us,dis.us,lly.us,spgi.us,aapl.us,f.us,ppl.us,unm.us,adi.us,hum.us,rok.us,pgr.us,d.us,syy.us,dlx.us,gpc.us,avp.us,nue.us,itw.us,mmm.us,bk.us,cvs.us,glw.us,rdc.us,mrk.us,ci.us,hon.us,bac.us,dwdp.us,aa.us,amgn.us,jcp.us,nyt.us,mdp.us,cl.us,noc.us,pnw.us,aig.us,etn.us,eix.us,wec.us,nav.us,shw.us,ir.us,xrx.us,hd.us,unp.us,ash.us,ppg.us,jnj.us,nsc.us,peg.us,txn.us,avy.us,bmy.us,ip.us,brk-a.us,kmb.us,mo.us,txt.us,c.us,uis.us,aet.us,ni.us,whr.us,swk.us,cvx.us,mbi.us,ge.us,vz.us,atro.us,dal.us,k.us,ipg.us,hsy.us,wfc.us,vfc.us,cmi.us,aep.us,apd.us,hal.us,slb.us,oxy.us,cat.us,so.us,cr.us,mas.us,svu.us,bax.us,ctl.us,pcar.us,tgna.us,lpx.us,ter.us,rrd.us,tgt.us,adbe.us,axp.us,gis.us,rost.us,ctb.us,amd.us,usb.us,etr.us,mdt.us,bcr.us,amat.us,de.us,pg.us,afl.us,kr.us,adp.us,nem.us,lmt.us,nwl.us,exc.us,gww.us,fdx.us,bms.us,pfe.us,thc.us,cms.us,dhr.us,hpq.us
1987-11-15,231619.0,193763.75,2718087.75,8050403.75,6000520.75,179562.5,442116.25,6315263.25,356406.75,14035431.0,587233.75,266390.0,86491675.5,77478.0,877296.25,15894951.5,1601244.0,1404856.25,24758375.0,7735941.25,1622114.5,1065111.25,117314.25,933120.25,4842576.0,759793.25,19851116.25,258601.0,722374.0,2122600.0,456517.75,100827773.0,3051656.25,3496966.25,1942482.5,82517.25,710830.25,832758.5,606466.5,6612034.0,587775.75,1546219.75,78463.0,3172314.0,3285533.75,681839.0,515751.5,1004074.25,688669.75,904975.75,1631819.5,568184.25,2209972.5,7461500.0,1518089.5,5442279.0,56484.0,103711.5,7320.75,299421.0,630321.75,5859772.0,1521140.75,397015.5,270080.25,4858723.5,199835.75,5573564.5,526147.75,367175.0,7011117.0,3860964.25,1184292.5,57081788.0,5505683.5,330536.25,277512.75,737167.75,481907.5,857794.0,2001148.75,518566.0,793709.5,192470.75,188436.0,20752373.75,247861.0,937434.5,2625220.5,785150.75,239286.75,1825190.5,396470.75,14318137.5,501227.0,2009826.5,397237.25,5771616.5,1648722.0,12744799.5,740520.25,801272.25,134254.75,4038589.0,187898.5,127690.25,246873.25,2292096.25,1548577.25,1689860.75,785400.0,360343.25,1089022.0,840638.75,4178814.5,3545354.0,609529.0,1154728.75,9919661.25,3183915.25,500081.0,14588679.75,762899.75,3991692.75,1893892.25,237.5,1453782.75,71556188.25,1316804.5,336915.5,139527.5,1626107.0,359558.75,264047.5,99876.5,1338655.75,129225.0,30207138.0,1345133.0,31395.0,124540.5,858099.5,558944.0,465853.25,1902283.5,1215316.5,476453.25,318802.25,803469.5,1550811.25,2541299.75,2710601.25,6345737.25,371998.5,345613.25,711440.25,37299.25,2966706.75,76917.75,554717.5,1499687.25,65350.0,1175490.25,297888.75,8484882.75,2080800.0,5659114.0,2287446.5,5069840.5,105330.75,919200.0,4492330.0,658897.0,2545847.5,573369.25,10780875.25,662096.0,7771820.0,1003399.75,1697930.0,1960500.5,124762.75,302767.25,122418.75,644283.25,583950.25,718209.25,141904.75,19923326.25,146718.75,152300.5,536944.0,15722057.5
1987-11-22,122682.8,68823.4,2085028.6,9058816.4,492679.2,144360.6,424869.4,4842119.2,253384.6,13268616.4,471642.6,319311.0,88746245.2,100004.8,908889.6,6497098.4,1860252.6,563088.6,22498903.6,8538970.4,1294698.2,740194.8,246718.4,2426586.2,4529982.2,817777.8,13384389.0,376442.2,934100.0,2005440.0,197667.2,99839255.8,2767589.0,3547720.2,1469172.4,166501.6,723698.4,779508.4,527902.4,7558104.0,331761.4,1122311.6,91040.8,1284183.8,2200304.4,455843.0,955321.6,1045020.0,491410.4,731005.0,1432024.6,1313391.0,3421971.8,7216555.4,2509539.4,3761734.4,42331.0,84655.6,86914.6,322036.8,670368.8,3394725.6,551254.6,462552.0,430442.0,5007900.4,367287.6,7803477.4,1016049.6,240663.0,6900482.8,3073900.0,4169962.2,64281426.6,4897527.0,870053.2,835850.4,858477.8,411374.8,451112.4,1010760.6,1312757.2,1055530.4,207231.4,201179.6,2062198.4,143368.4,729557.0,3002230.6,917406.4,170800.8,1842155.0,300164.6,13018007.8,782146.0,5729870.8,522125.2,4585371.0,1329629.4,5567553.0,749618.6,711682.2,401901.8,3084404.8,368687.0,114440.2,194993.2,2289503.0,628074.2,2939525.6,584240.0,321519.6,1298083.2,914337.6,5212557.0,2425735.4,305521.6,1160494.4,8095756.4,1762332.8,698859.6,11908855.0,190256.6,3187056.0,1178471.6,322.0,1757984.2,54315312.4,950255.2,287765.4,107376.0,1299056.0,330532.8,168899.8,88379.4,1580943.4,58380.0,26080997.6,1497678.4,55303.2,194347.0,976080.6,567195.8,1094223.8,1023017.4,1016799.0,593743.6,391417.6,644600.0,868502.2,3253737.0,2017253.4,5121408.4,379871.0,151047.8,917470.2,57579.0,2631616.0,81566.0,430751.6,979486.2,66660.0,887219.8,290323.4,6790523.2,2675200.0,4569787.6,2098166.4,1781929.8,101225.2,772640.0,3160129.0,749129.8,5746024.8,510901.2,4960534.2,659335.6,5878718.4,1188755.6,882958.0,1968402.0,120653.4,499032.4,212862.6,437978.2,349735.8,1018036.0,77975.6,10347956.6,226185.0,88011.0,340422.2,16875530.8
1987-11-29,96086.25,110260.25,2119441.0,5560625.5,391061.25,94030.25,579477.75,3215260.25,195712.0,7251369.75,655614.5,346041.0,51777288.5,30376.5,462744.0,5410204.0,1906846.25,685388.75,10832378.75,11962839.25,747861.0,359233.25,129609.25,1589034.25,4342582.25,737300.75,5727256.75,553391.25,630227.25,1411600.0,239810.75,55602880.25,1779372.25,3452757.5,825087.25,113346.5,941057.75,926165.5,577818.75,5050624.25,88430.25,772813.25,65513.25,2742057.25,1853694.75,500063.75,1082537.0,1072166.0,903914.0,724442.75,5599724.0,517686.5,3457098.5,6056942.0,1309208.75,3914027.75,108519.75,135994.5,9298.75,187964.0,843341.5,395184.5,680347.75,337670.25,241488.0,8515260.75,237041.0,3683534.75,307878.5,295248.25,5050857.25,1836651.25,1019950.5,31904114.25,2859183.0,126777.0,336445.5,303912.75,369656.75,459834.5,1160409.0,3185699.75,1263454.5,285308.25,373999.0,1311688.0,255323.5,495959.25,1866684.5,330636.25,212269.75,1648569.5,503831.0,8366315.0,346724.75,1331668.75,481350.75,3289845.5,1392677.75,3778726.0,793587.25,584309.0,190205.75,1839244.75,284054.5,92196.5,118763.25,950996.0,592005.25,2337884.0,694450.0,246738.75,2142108.5,1874764.25,3680326.75,1970434.25,376274.5,1537022.75,6960916.5,1178610.25,1953265.25,8684054.25,173888.5,3290790.5,1624870.25,112.5,1226033.0,70126839.25,597621.75,261925.5,53850.0,858460.0,400532.25,129471.25,54858.75,1214689.5,65850.0,17884091.0,973012.75,19524.333333333332,117707.75,670730.75,280390.75,583222.25,803925.0,794311.5,673485.0,205322.25,1128482.5,574195.0,2799479.75,868435.5,3997055.0,610746.0,138558.0,842097.5,30049.0,1693283.0,31004.75,3671395.0,714285.5,85175.0,562313.0,334368.0,5572916.0,2844800.0,4139822.25,1640675.75,1625222.0,135457.75,537850.0,4699319.5,464296.0,9807590.0,419852.5,10344313.0,780935.5,4333874.25,1361046.25,679437.0,974068.25,299826.75,300732.75,223824.5,371308.25,137012.75,981789.0,49212.5,10149099.75,146175.0,69345.5,861331.25,10644916.25
1987-12-06,170874.2,138066.2,2058618.0,9830251.0,515533.2,79858.8,618192.0,7122060.4,272358.6,12635469.2,464902.8,286611.4,60995486.2,70925.2,698939.2,6289393.0,3796150.8,719582.4,24993812.6,19085955.8,794724.6,528950.2,235039.8,2190574.6,6096958.0,2114090.4,21876124.2,837509.0,941766.6,2308480.0,301034.8,147697640.2,2923408.4,3164525.4,2179324.2,89486.2,1611116.6,1698220.2,590443.2,8480807.2,442714.0,1222635.2,68037.0,1621121.2,2548675.2,522648.0,752173.6,828583.2,1013150.8,951103.2,4152148.8,748846.8,2688792.8,9312868.2,2501776.6,4236224.2,113881.0,132935.0,19367.2,235670.4,689348.8,437298.4,479701.4,700835.0,1630013.0,4294807.8,416319.8,3708693.0,819694.0,490414.6,7153436.6,3430790.0,1647188.2,72714850.0,4384243.0,927859.2,533554.0,642989.2,458540.8,460282.2,1243077.2,450946.6,2292480.6,257475.6,272804.6,2529336.4,162968.6,969937.2,3140189.2,1315992.6,510521.6,1975352.6,305319.0,14035310.8,6377330.2,1509456.0,6488927.0,5265337.4,1609410.6,8362301.2,824098.2,427892.2,350867.8,3056755.8,465180.4,113428.0,264843.0,1230552.2,845135.6,4392677.8,1114260.0,487139.2,1275891.2,2690684.2,6924385.0,2508588.6,319772.8,1353497.2,11380456.8,1446156.0,3399625.4,8398616.4,135227.2,4329195.4,1956890.8,548.0,1620230.4,64295941.8,1078345.6,329870.6,90020.0,1388953.0,378158.0,314860.2,93598.8,1901482.0,96180.0,35109229.0,1806106.2,14231.0,132469.8,942674.4,1021919.6,799366.4,1633827.2,1313003.2,422935.6,436901.8,680330.4,906945.6,2803346.4,23521634.8,4440227.6,509831.4,270948.2,847326.2,35430.4,2696800.2,116867.6,460300.8,1118824.0,87700.0,523327.6,352538.4,6823071.4,3548800.0,5448204.8,1802047.6,2339637.4,73017.0,1178080.0,11621321.8,555184.4,5520546.2,459528.2,13931524.0,633336.0,7558520.8,3227001.8,1376451.0,2274071.8,432551.0,343068.8,346973.8,663025.6,228673.0,1367526.0,84858.0,15466432.0,249525.0,125698.4,490076.2,19445401.0
1987-12-13,195477.8,211979.8,2025237.6,8482538.0,439757.6,108033.6,601797.8,3534249.0,257995.0,11378198.4,731203.8,274648.8,132720329.2,104330.0,820630.2,5175808.4,3085558.8,1195024.0,25932298.0,10537199.2,1274899.2,599068.2,212703.4,2888636.4,5426215.2,1153019.6,5906024.6,832483.0,779219.6,1607840.0,247126.8,133067969.8,2850483.4,3705051.2,1732788.2,89852.0,981056.2,1477765.2,416613.8,7102818.0,220054.2,1148955.8,211927.2,1342671.0,2240233.2,2157264.2,950342.4,1100585.8,382411.6,1136416.8,6728347.0,13394855.8,2297899.4,9430253.6,2173849.4,6097515.6,54984.4,518779.2,23000.4,245638.2,738983.4,342748.8,452463.6,340254.0,10003002.0,3670454.8,351304.8,3936722.2,696847.8,406948.2,10460766.8,2544880.4,1571032.8,57784567.2,3825882.4,426945.6,597912.6,1004498.8,640597.8,441758.0,1845412.4,336139.4,1282500.2,306305.8,370492.0,1774612.6,358072.2,560823.6,3090468.6,955297.6,182033.2,4518682.8,479796.2,12332631.8,950200.2,2008640.4,446942.8,5293875.0,1763285.8,9705361.6,893961.6,663129.4,349612.0,4920474.6,376420.2,101320.2,233809.6,1433570.4,660900.6,3279585.6,1089920.0,320303.6,2240754.2,615254.2,9898343.6,1799561.8,246533.6,1136531.2,9080301.8,1540380.2,507828.8,12698858.0,182300.2,3710582.0,2195643.4,326.0,1574380.6,84077016.2,867169.4,369157.4,72538.0,1049401.6,438292.8,227528.8,95135.2,1676142.8,52560.0,29906505.2,1514763.4,20868.4,130844.8,1086788.6,238609.0,500864.6,943348.2,1665776.2,593001.4,408204.2,905187.4,815145.2,5107893.2,2401897.2,6367470.8,579184.2,208579.6,637408.2,59679.0,2639431.8,119013.2,352614.4,1316044.4,72680.0,286503.0,446186.4,6392960.4,2577280.0,4888956.2,2877456.0,2306792.2,219230.0,895520.0,3789295.0,469333.4,3631239.2,365774.2,7800412.8,1233975.0,7591445.6,1484084.2,935857.2,1669243.2,114454.8,551470.8,327788.8,633612.2,174049.0,1870690.0,181181.2,25733435.0,164370.0,173233.0,1753416.4,20392590.8
1987-12-20,434565.6,257094.4,3008992.4,10430577.8,840810.4,149197.0,1060186.0,3954919.8,480172.8,18959874.6,594241.8,457623.6,70071226.0,178235.8,780735.4,8154857.6,3845883.6,1026998.2,39671388.0,11193361.2,1094205.6,992720.2,147745.2,4399198.4,6174823.2,1692206.6,18645028.0,616730.8,1084708.4,1724960.0,428878.0,122109117.8,4298399.6,5007108.6,2103029.6,199691.4,1552821.4,1486152.2,1064936.6,10988209.0,449108.0,1833068.0,145383.2,1728470.6,3404070.2,2405559.4,783709.8,1775222.2,622523.6,1177073.2,4355380.4,1600423.0,4085534.4,11021067.2,2515823.4,5527484.4,61289.6,203329.8,21591.2,397535.4,976089.6,423233.8,1206078.6,194574.4,402992.6,4782409.8,294023.8,10127263.4,721719.2,347117.6,9527047.0,3532643.4,2437462.8,89206879.6,4630225.6,215279.8,936830.6,749214.2,783657.0,700035.0,1216848.4,369487.6,2335282.2,270088.6,387523.8,2384247.6,461346.8,1082362.8,3658030.2,1407078.8,362407.4,2172497.2,511120.4,14258732.8,1078499.4,2687241.2,905169.0,6045131.4,2531437.8,9330094.4,986824.0,482076.6,310290.0,4530021.0,592140.4,112648.2,311101.6,1294272.6,1074824.4,2851720.4,1742360.0,419954.6,2373739.4,568847.0,7219235.4,3539761.2,512663.4,1395327.0,10840606.8,2353183.6,1156001.6,14039812.4,192319.6,4156720.2,2855285.4,312.0,1287536.6,76366328.6,1730024.0,640347.0,125220.0,1419006.4,918142.2,209789.8,162643.8,2504968.6,85800.0,33184404.6,1731739.0,48159.333333333336,239499.2,1166046.6,410154.6,1016960.4,1486032.6,3913443.4,736701.6,532617.6,1262304.6,1372598.2,7136839.8,3034602.4,5377383.0,841822.8,331211.4,909052.2,77831.2,3027621.4,234450.2,1666403.0,1489000.4,103660.0,762649.2,563655.4,6757101.0,2348160.0,6426738.2,5462754.0,2934297.6,108544.8,1568880.0,4137292.2,902606.4,5601601.4,388088.8,10267360.0,735534.0,8016254.8,1171748.0,1412485.2,2676727.4,222041.6,551394.6,192397.2,700848.6,220946.8,1624291.2,172199.2,24500119.8,261360.0,123465.8,905816.0,19841664.2
1987-12-27,310947.75,168049.0,2050837.0,6040497.25,652448.25,135253.25,591449.0,4201360.25,241816.0,7468107.75,502733.75,350289.25,55208025.75,74264.75,707910.0,7649021.0,8445411.75,892335.5,24837401.0,8492620.75,743756.75,650572.0,236423.5,2886618.0,2754657.25,1935306.5,12451159.75,378124.5,737433.5,797000.0,593856.75,55263171.5,1928673.25,2880128.5,2254916.0,156897.0,780596.25,1030523.0,999529.5,5190944.0,94527.75,1468481.25,183592.25,1133650.5,2591300.25,828699.25,981294.75,925049.75,249660.0,688449.75,2930950.5,1220363.0,7559094.5,7707040.75,1481120.0,3807933.75,45473.25,214470.5,29979.5,229756.75,1220783.75,461360.0,438491.5,246597.75,382054.5,3395456.5,219473.25,3150393.75,621695.75,334825.0,5800252.25,3497859.0,1255461.75,38922592.25,3626930.0,360467.0,617849.25,956958.5,579158.75,495529.25,1696701.5,205135.75,1801921.25,258776.0,242577.25,1585931.0,249851.5,1079837.5,1980039.25,1073661.5,287557.75,1302661.75,424541.75,6132093.25,485640.5,1643135.75,808475.0,4091301.75,1339227.75,6099455.0,787456.0,315695.25,126542.25,2047551.75,376901.0,198385.5,123524.75,643875.75,13167331.0,3049235.25,978025.0,451810.5,2271564.0,407800.5,3444340.75,2330821.0,297299.25,604910.5,5320335.75,1176377.25,1102262.75,12387903.75,479239.25,2463531.75,1184080.5,297.5,887171.0,48209542.25,1785240.5,484978.5,54795.0,1031261.5,875445.75,224429.75,113853.75,1995217.0,42900.0,28011263.25,5066054.0,44795.75,113341.75,726818.75,379199.0,381185.75,1423106.25,2954301.0,365288.0,355167.0,683524.0,876571.75,3688091.5,1797235.25,2886950.0,712205.5,98061.75,607373.0,91216.0,2142664.25,302306.75,3275078.75,929153.5,96500.0,748606.25,450076.75,4557941.0,3094400.0,4546156.0,2192928.5,5105768.5,162012.0,1153850.0,3021328.5,529736.5,2897697.75,456280.0,6359754.5,340601.0,3675935.25,1180564.5,1782028.75,2124252.25,102877.5,347896.75,235243.0,707104.25,122584.0,782380.25,38942.75,25594679.0,143962.5,134123.0,365500.75,12230183.5
1988-01-03,206803.75,136583.5,1406416.5,4766627.25,307399.5,123499.75,455709.75,2684988.75,268079.75,8159018.25,421895.0,218641.0,54768084.0,38853.5,309518.0,4766382.25,4447633.25,467154.0,102382297.0,6839504.0,512696.75,961785.5,160603.5,3576960.25,3736365.0,1227166.25,11024139.5,300466.25,522474.75,932600.0,402607.5,87196193.0,2804757.5,2378460.75,1415906.75,79881.0,1117017.5,713493.0,396098.75,5184358.5,132696.75,792694.25,119505.0,1047145.0,2304772.0,914188.0,693959.75,945774.5,234254.5,457959.5,3552035.75,924583.25,3219185.75,5742732.0,732934.75,2319128.0,49564.0,141716.0,19346.0,199274.75,802906.75,770552.25,376516.0,264760.0,503454.0,3895199.75,270759.0,2720400.75,552817.25,168540.0,5793021.0,3667445.0,860324.5,43338424.5,2425948.5,225881.75,456948.75,980475.75,297536.75,426089.5,2215432.25,358420.75,2219637.5,284487.25,196856.0,1125231.75,159809.5,542492.0,1540855.0,498917.5,170038.0,1355018.5,196727.25,6190467.5,466441.0,1640927.0,525264.75,2955674.75,968141.0,5029615.0,498780.75,259524.0,83010.25,2185333.0,272309.5,77906.75,114300.75,712043.0,10645066.25,1560075.0,1396825.0,229919.5,928253.25,393086.75,3462017.5,1789435.5,148914.75,597618.25,6112612.25,1469535.0,794440.75,8971958.25,395410.25,1821871.5,872024.0,650.0,1375273.75,33336139.5,1442941.25,306239.75,49390.0,713205.25,719752.25,148286.5,69650.5,1415950.25,72600.0,19020219.5,1796111.5,39939.0,108117.25,547288.75,474064.25,386556.5,871037.0,1981673.5,155259.75,376675.25,480376.5,462123.0,3071306.0,1894096.5,2035233.75,633587.0,120506.0,482073.25,32188.75,1659788.5,157710.0,393186.0,731782.0,87850.0,605896.5,216284.25,4786800.75,2312800.0,4596914.0,2301300.75,7060312.25,31243.0,910100.0,2494919.75,710727.75,3100332.75,173913.75,5488478.75,429188.5,3777078.75,946044.0,1786686.5,777443.5,119068.5,342394.5,119449.5,903504.25,109861.5,675255.0,84570.75,12419019.5,116681.25,330488.25,304651.75,8121235.25
1988-01-10,168158.2,162958.4,2294445.2,8743995.0,772300.0,138543.0,202410.8,5619628.0,298423.6,12694704.4,1390604.6,599795.2,71427960.2,99754.2,581929.8,9447678.0,2434680.8,2331006.6,42243801.8,9132828.6,758120.2,687063.0,332581.2,2929474.6,5634315.0,2420008.2,28253293.8,421771.4,569572.4,1420960.0,252774.6,165779939.0,4313849.2,3981308.8,2655255.6,141655.0,921520.8,750995.4,641330.6,8536089.0,157300.6,1188581.0,167944.2,1094008.0,3338089.4,1032630.0,1569909.6,1763016.4,664042.0,1490807.8,5465563.0,749803.6,3426818.0,7433933.6,1708764.6,4011980.8,33347.2,169407.6,11372.2,210970.8,492500.8,838937.8,702689.2,339708.0,353155.2,3716600.4,353009.8,5773229.8,495739.8,181295.0,8993793.0,4291035.0,1652575.8,89644166.2,4877528.0,190021.4,311726.8,597113.6,377643.4,505664.2,825283.0,389529.8,1913542.6,274349.2,876675.8,1756637.0,282757.2,1158873.8,2537785.8,679856.4,265663.4,1635795.6,537763.4,11255809.6,659628.2,1737424.0,1138526.0,4707533.4,1825816.0,12578016.6,1963715.0,240870.2,88264.6,3128494.2,518693.6,85890.2,266716.4,1069914.8,806920.2,3777029.0,1149140.0,224386.8,2143243.0,666768.0,3714972.4,2755654.2,2545825.4,1461393.2,11043493.4,1641392.0,685395.8,11756318.0,244137.6,3177857.4,1729582.0,408.0,1007515.4,64771211.0,2024939.2,368241.6,90304.0,6343099.4,835777.2,212334.2,124022.2,1655717.2,43440.0,24298364.4,1489466.0,12116.5,160274.2,674919.8,269092.8,588220.2,1357866.4,2762265.8,490702.2,277024.8,689071.2,782868.4,3517238.0,1700598.8,6582873.4,587204.2,350961.0,922620.0,69210.8,5345162.6,76558.8,721757.8,1293911.6,138200.0,519917.4,527555.6,6496420.4,5056640.0,5905449.0,3487706.8,9070455.0,196021.8,986920.0,4017930.6,396827.6,4261991.8,514313.6,13304058.2,1002543.8,6297976.8,736993.6,2292783.0,2489513.8,159471.0,420008.0,118400.6,720688.8,235670.2,1189435.4,63833.2,27935128.4,145545.0,142600.4,423964.4,16382291.6
1988-01-17,267424.0,54807.6,1728442.4,9950682.0,407265.8,120481.0,426735.4,3145862.0,332557.0,13322752.2,887212.0,225160.4,115402042.8,59160.8,722117.8,4605104.0,2083327.4,1164445.6,27647923.0,7389837.4,901246.8,1225297.6,292005.8,3032996.8,4686502.2,599835.8,16234948.8,449377.2,513711.4,1404320.0,175590.6,143800989.6,2851146.4,3356845.6,1443427.0,141289.8,968652.0,552345.6,655898.2,9650687.8,305265.4,1303517.6,98152.0,1329593.4,2723446.8,1498840.6,1098054.8,1104413.4,1003711.0,1037712.8,3771722.2,704492.8,2092823.8,7463177.6,1964227.4,4393851.0,21023.2,40570.2,6883.4,189468.4,584546.8,506774.8,305864.8,242403.8,339585.2,3325024.0,190819.2,5979515.8,576322.8,189273.2,7485010.0,3861217.2,783988.4,83272244.2,4382772.0,180432.6,459398.0,422291.4,287365.4,505780.0,1284294.0,359441.8,1134459.6,199537.2,447042.8,1486100.6,243957.0,830573.4,3246979.2,570372.8,129184.2,1522422.0,341324.6,13086224.8,620716.6,1345852.0,615298.2,5574974.4,1309552.0,14221728.4,924008.8,312206.6,120373.0,3587698.0,400089.0,123221.4,213318.8,1011825.8,578009.6,3042906.8,970000.0,234802.6,1225118.4,614864.8,5537814.0,1914959.8,413968.4,814896.8,12043370.8,1341787.8,680748.6,10388043.8,195578.4,2983283.0,2496108.4,338.0,552919.8,52278050.6,1326955.8,201351.6,110442.0,2485044.2,371402.4,190886.4,87635.0,1449069.6,21840.0,30288072.2,1808736.0,2269.0,158576.2,990874.8,313661.2,509740.8,1315722.4,3315769.8,217967.0,308345.6,1073661.2,468146.2,3376843.4,1706549.2,5630846.4,581849.0,147066.2,1363325.0,27586.0,3807350.4,209885.2,688198.0,1005266.6,79100.0,1237213.6,511081.6,4814627.6,6974080.0,4797841.0,2732565.4,5547656.8,63376.8,1054800.0,1938778.2,338407.4,2785325.6,244625.8,18650841.0,686134.6,7757243.0,598631.6,2028640.2,5068292.6,214929.8,366781.6,326327.6,586951.2,309653.2,926230.6,104350.6,14377851.8,129495.0,175796.6,1889255.8,18655797.8
